Artist,Title,Streams
Kendrick Lamar,HUMBLE.,339677217
Lil Uzi Vert,XO TOUR Llif3,316206696
Post Malone,Congratulations,285451131
Ed Sheeran,Shape of You,282319891
Future,Mask Off,241828211
Post Malone,rockstar,238013267
Luis Fonsi,Despacito - Remix,235012075
KYLE,iSpy (feat. Lil Yachty),227087919
Khalid,Location,226224851
Logic,1-800-273-8255,221788327
French Montana,Unforgettable,219082837
Migos,Bad and Boujee (feat. Lil Uzi Vert),211518962
Bruno Mars,That's What I Like,208416179
DJ Khaled,I'm the One,206524898
Travis Scott,goosebumps,200660671
Kendrick Lamar,DNA.,190134671
Big Sean,Bounce Back,186239735
Childish Gambino,Redbone,180679901
21 Savage,Bank Account,179650062
Sam Hunt,Body Like A Back Road,172818841
Drake,Fake Love,172764719
Drake,Passionfruit,168936267
Imagine Dragons,Believer,161185874
Migos,Slippery (feat. Gucci Mane),160644388
Kodak Black,Tunnel Vision,159675387
Khalid,Young Dumb & Broke,158529702
Kendrick Lamar,LOVE. FEAT. ZACARI.,156207684
Migos,T-Shirt,153808845
Zedd,Stay (with Alessia Cara),152614157
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",148007471
Julia Michaels,Issues,147063367
Calvin Harris,Slide,146806206
The Chainsmokers,Something Just Like This,145168696
The Weeknd,Starboy,143772119
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),142644816
Travis Scott,Butterfly Effect,140994767
James Arthur,Say You Won't Let Go,139105695
Cardi B,Bodak Yellow,137770156
The Chainsmokers,Closer,137009517
DJ Khaled,Wild Thoughts,133233241
Drake,Portland,132209360
Kygo,It Ain't Me (with Selena Gomez),131431123
Rae Sremmurd,Swang,129484067
Imagine Dragons,Thunder,128764439
Playboi Carti,Magnolia,125657212
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,124676086
Charlie Puth,Attention,124240832
Aminé,Caroline,124002371
Camila Cabello,Havana,123735162
Demi Lovato,Sorry Not Sorry,122909208
Lil Pump,Gucci Gang,120230236
The Chainsmokers,Paris,118441429
DRAM,Broccoli (feat. Lil Yachty),117737969
Liam Payne,Strip That Down,114095640
XXXTENTACION,Look At Me!,110756456
Post Malone,I Fall Apart,109701888
21 Savage,X (feat. Future),106965611
The Weeknd,I Feel It Coming,105447990
Post Malone,Go Flex,104894155
Marshmello,Silence,104066434
Dua Lipa,New Rules,103949426
Post Malone,White Iverson,102840864
