Artist,Title,views,delimiter count
Childish Gambino ,This Is America,3758488765,1
Ariana Grande ,No Tears Left To Cry,1576959172,1
"Becky G, Natti Natasha ",Sin Pijama,1182971286,1
The Weeknd ,Call Out My Name,1129777538,1
"Calvin Harris, Dua Lipa ",One Kiss,1030450823,1
"Cardi B, Bad Bunny & J Balvin ",I Like It,896558471,1
Maluma ,Marinero,803455479,1
Taylor Swift ,Delicate,766773238,1
Maluma ,El Préstamo,748060352,1
Daddy Yankee ,Hielo (Video Oficial),735203270,1
Nicki Minaj,Chun-Li,667433581,1
Drake ,Nice For What,583521598,1
Ed Sheeran ,Happier,569737075,1
"Luis Fonsi, Demi Lovato ",Échame La Culpa,534738794,1
ZAYN ,Let Me,518189767,1
"Diplo, French Montana & Lil Pump ft. Zhavia ",Welcome To The Party,510161884,1
Céline Dion ,Ashes (from the Deadpool 2 Motion Picture Soundtrack),409354166,1
Ed Sheeran ,Perfect,400903156,1
Jennifer Lopez ,"Dinero ft. DJ Khaled, Cardi B",390882971,1
Fifth Harmony ,Don't Say You Love Me,385305225,1
Enrique Iglesias ,MOVE TO MIAMI ft. Pitbull,381108660,1
Jennifer Lopez ,El Anillo,372934349,1
Backstreet Boys ,Don't Go Breaking My Heart,364499372,1
Sam Smith ,Pray ft. Logic,363345114,1
Liam Payne & J Balvin ,Familiar,354880801,1
Maroon 5 ,Girls Like You ft. Cardi B,353831319,1
LSD ," ft. Sia, Diplo, Labrinth",339256053,1
G-Eazy,"No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",328974320,1
Shawn Mendes ,Youth ft. Khalid,321652176,1
ZAYN ,Entertainer,320371684,1
Camila Cabello ,Never Be the Same,282210710,1
Christina Aguilera ,Fall In Line ft. Demi Lovato,279995026,1
Katy Perry ,Hey Hey Hey,267531344,1
Charlie Puth ,Done For Me (feat. Kehlani),251487442,1
Live It Up ,Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia),243713138,1
Gorillaz ,Humility,242312137,1
Eminem ,Walk On Water ft. Beyoncé,240707098,1
"Abraham Mateo, Yandel, Jennifer Lopez ",Se Acabó el Amor,229829215,1
Taylor Swift ,"End Game ft. Ed Sheeran, Future",227530899,1
J. Cole ,Kevin's Heart,226451213,1
Bruno Mars ,Finesse (Remix) [Feat. Cardi B],207839755,1
Selena Gomez ,Back To You,202661272,1
Eminem ,River ft. Ed Sheeran,190959638,1
Charlie Puth ,BOY,181630232,1
Diplo ,Color Blind (feat. Lil Xan),176874297,1
"The Chainsmokers, Drew Love ",Somebody,168682097,1
Jason Derulo ,Colors-The Coca Cola Anthem for the 2018 World Cup,166594232,1
Demi Lovato ,Tell Me You Love Me,162205906,1
Calum Scott ,What I Miss Most,159043663,1
Imagine Dragons ,Next To Me,155876025,1
Drake ,God's Plan,153924091,1
John Mayer ,New Light,152862131,1
Meghan Trainor ,No Excuses,150287605,1
Clean Bandit ,Solo feat. Demi Lovato,143693858,1
Halsey ,"Alone ft. Big Sean, Stefflon Don",143623208,1
The Chainsmokers ,Sick Boy,141402332,1
David Guetta & Sia ,Flames,140776212,1
Maroon 5 ,Wait,139029915,1
Mason Ramsey ,Famous,138535745,1
Troye Sivan ,Bloom,135039439,1
Marshmello ,FLY,134071499,1
Florence + The Machine ,Hunger,126233730,1
WINNER ,‘EVERYDAY’ M/V,126168398,1
Dua Lipa ,IDGAF,125584433,1
Shawn Mendes,Lost In Japan,123625398,1
Shakira ,Trap ft. Maluma,122400297,1
SZA ,Garden (Say It Like Dat),121880668,1
"Selena Gomez, Marshmello ",Wolves,116603411,1
P!nk ,Beautiful Trauma,116054176,1
"Kendrick Lamar, SZA ",All The Stars,113910438,1
The Chainsmokers ,Everybody Hates Me,113713211,1
Carrie Underwood ,Cry Pretty,111763060,1
Bruno Mars and Cardi B ,Finesse,110333348,1
Wanna One (워너원) ,'BOOMERANG (부메랑)' M/V,103916178,1
Shawn Mendes ,In My Blood,102579491,1
"Migos, Nicki Minaj, Cardi B ",MotorSport,98688826,1
"Jay Rock, Kendrick Lamar, Future, James Blake ",King's Dead,92526244,1
PENTATONIX, HAVANA,83353252,1
James Bay ,Us,81672725,1
Jess Glynne ,I'll Be There,80671323,1
Rudy Mancuso & Juanpa Zurita,Terrible Magicians,76093302,1
Dan + Shay ,Speechless (Wedding Video),73213624,1
Carrie Underwood ,The Champion ft. Ludacris,72462589,1
The Chainsmokers ,You Owe Me,72284782,1
Marshmello & Anne-Marie,Friends,72272515,1
Pentatonix, Attention,72222190,1
Prince ,Nothing Compares 2 U,70170796,1
Bebe Rexha ,Ferrari,65536375,1
Billie Eilish ,lovely (with Khalid),62533829,1
Ed Sheeran ,Supermarket Flowers,62046940,1
Justin Timberlake ,Filthy,60961738,1
Miguel ,"Come Through and Chill ft. J. Cole, Salaam Remi",60505008,1
Justin Timberlake ,Say Something ft. Chris Stapleton,58709051,1
Sigrid ,High Five,58079295,1
Camila Cabello ,Havana,58025977,1
"David Guetta, Martin Garrix & Brooks ",Like I Do,57913056,1
5 Seconds Of Summer ,Want You Back,57813772,1
G-Eazy,Him & I,57619932,1
BIGBANG ,꽃 길 (Flower Road) (ENG SUB ADDED),57173158,1
Weezer ,Africa,56853902,1
Jennifer Lopez ,"Amor, Amor, Amor ft. Wisin",55649039,1
"Alan Walker, Keala Settle & The Greatest Showman Ensemble ",This Is Me (Alan Walker Relift),54756747,1
DJ Khaled ,I Believe (from Disney’s A WRINKLE IN TIME) ft. Demi Lovato,54670201,1
Tinashe ,"Me So Bad ft. Ty Dolla $ign, French Montana",51077273,1
"Liam Payne, Rita Ora ",For You (Fifty Shades Freed),51057914,1
Christina Aguilera ,"Accelerate ft. Ty Dolla $ign, 2 Chainz",50120829,1
SZA ,The Weekend,50023317,1
Sugarland ,Babe (Static Video) ft. Taylor Swift,49682986,1
Thomas Rhett ,Marry Me,48557588,1
Meghan Trainor ,No Excuses (Dance Video),47948846,1
Eminem ,Untouchable,46728397,1
J. Balvin ,Ahora,45783421,1
Florence + The Machine ,Sky Full Of Song,45699592,1
Kelly Clarkson ,Meaning of Life,44499027,1
Kendrick Lamar ,LOVE. ft. Zacari,44326688,1
Billie Eilish ,lovely (with Khalid) ,43643107,1
Lil Wayne ,Family Feud feat. Drake | Dedication 5,42913354,1
Justin Timberlake ,Supplies,42339916,1
Pentatonix, New Rules x Are You That Somebody?,42060844,1
"Milo Manheim, Meg Donnelly ",Someday (From ZOMBIES),41928539,1
Justin Timberlake ,Man of the Woods,41701393,1
OK Go ,Obsession ,41183174,1
"Hailee Steinfeld, Alesso ","Let Me Go ft. Florida Georgia Line, watt",40509837,1
Khalid & Normani ,Love Lies,39166248,1
Azealia Banks ,Anna Wintour,38349617,1
"Pitbull, Fifth Harmony ",Por Favor,36099280,1
Meghan Trainor ,Can't Dance,35624815,1
MACKLEMORE FEAT DAVE B & TRAVIS THOMPSON ,CORNER STORE,34127002,1
Lady Gaga ,Your Song,34015827,1
"Zedd, Maren Morris, Grey ",The Middle,33959840,1
Five Finger Death Punch ,Gone Away,33501371,1
iKON ,‘사랑을 했다(LOVE SCENARIO)’ M/V,33246211,1
Alan Walker ,Faded,32685530,1
Justin Timberlake ,Pepsi Super Bowl LII Halftime Show,30542398,1
Sam Smith ,One Last Song,30274314,1
Halsey ,Sorry,29834129,1
"Mustard, Nick Jonas ",Anywhere,29818604,1
JAY-Z,Family Feud ft. Beyoncé,28375589,1
Kelly Clarkson ,I Don't Think About You,27440862,1
Martin Garrix & David Guetta ,So Far Away (feat. Jamie Scott & Romy Dya),27250257,1
Meghan Trainor ,Let You Be Right,27105426,1
Janelle Monáe ,I Like That,26819473,1
The 1975 ,Give Yourself A Try,26793291,1
Lauv ,Bracelet,26757604,1
Grace VanderWaal ,Clearly,26603665,1
