title,views,delimiter count
"Pitbull-Stereotypes Jungle ft. E40, Abraham Mateo",569211,0
TWICE What is Love? M/V,774320575,0
"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】",378572823,0
GOT7 Look M/V,271861035,0
TWICE Heart Shaker M/V,183605009,0
TWICE「Wake Me Up」,165470840,0
Stray Kids District 9 M/V,164498553,0
j-hope 'Airplane' MV,124268512,0
Panic! At The Disco: High Hopes,91822231,0
j-hope 'Daydream (백일몽)' MV,90168820,0
Lift Yourself,79248633,0
TWICE Merry & Happy M/V,71146335,0
NCT 127 엔시티 127 'TOUCH' MV,58798337,0
Lin-Manuel Miranda & Ben Platt Found Tonight,41660698,0
SUNMI (선미)  Heroine (주인공),41591927,0
Coachella 2018 LIVE Channel 1,38740070,0
Tom Hiddleston's spot-on Korg impression.,36202495,0
JONGHYUN 종현 '빛이 나 (Shinin’)' MV,36160322,0
and the day goes on,35303600,0
singing the same song 6 years later..,29757853,0
EXO 'Electric Kiss' MV -Short Ver.,27237358,0
Send this to your crush with no context,25238213,0
Wouldn't Leave,24326977,0
"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】 發燒影片華語地區蟬聯第一 美國直衝前二",21957640,0
Janelle Monáe – Make Me Feel,19444717,0
TWICE Heart Shaker M/V TEASER (30s Ver.),17725995,0
Boy Sings Out in Walmart || ViralHog,16159878,0
"THE FURBY ORGAN, A MUSICAL INSTRUMENT MADE FROM FURBIES",15703449,0
Can Selena Gomez remember her own lyrics?,15283557,0
"Made Defiant: The Mixtape ft. Neymar Jr., Kane, Özil and Mendy | Beats by Dre",14769794,0
EXO 엑소 'Universe' MV,14192061,0
Paramore: Rose-Colored Boy,13898092,0
"Getting Delay, without using any effects...",11652652,0
Take On Me in 20 Styles ft. Seth Everman,10655992,0
EXO 'Electric Kiss' Dance Practice,9640712,0
Where’s Maria? (Liberation by Christina Aguilera),9567139,0
Making music with LEGO,8153786,0
BLACK THOUGHT FREESTYLES ON FLEX | #FREESTYLE087,7850299,0
MAMAMOO (마마무)  Paint Me (칠해줘),6872838,0
Benedict Cumberbatch's Tom Holland impression is PERFECT.,6674574,0
ETRADE Super Bowl Commercial 2018  This Is Getting Old,6377720,0
4 PRODUCERS FLIP THE SAME SAMPLE,5821863,0
Top 50 Singles of 2017,5326595,0
Janelle Monáe – I Like That,5083024,0
2017 Hit Songs Siblings Dance | Ranz and Niana,4749999,0
Samuel(사무엘)  Candy(캔디),4313860,0
Stray Kids Grrr 총량의 법칙 Performance Video,3814630,0
SING ANYTHING CHALLENGE,3789009,0
OH MY GIRL(오마이걸)  Secret Garden(비밀정원),3533772,0
Making a Song in 57 Minutes,3449616,0
Sam Smith surprises brides at their wedding! (At The BBC),3293506,0
The Ginger Ed Man,2261008,0
"#AboveTheNoise feat. Serena Williams, Neymar Jr., Cara Delevingne, Michael K. Williams, and Kris Wu",2152261,0
Picking the 2018 XXL Freshman 10th Spot,2146184,0
MY MY MY! TRAILER,1937252,0
You Make It Feel Like Christmas (Live From “Gwen Stefani’s You Make It Feel Like Christ...,1414601,0
Making new sounds using artificial intelligence,1339930,0
“Mystery of Love” by Sufjan Stevens from the Call Me By Your Name Soundtrack,1317806,0
It was... bonkers. Tom Hiddleston on life as Loki.,1300787,0
I play the lick for 5 hours straight,1297318,0
Dashboard Confessional: We Fight,1294492,0
INDIA LOVE LOCO,1282828,0
Linkin Park & Friends Celebrate Life in Honor of Chester Bennington (Recap Video),1266632,0
When We're Together (From Olaf's Frozen Adventure/ ),1118805,0
JBJ  My Flower (꽃이야),1063552,0
Typical audience reaction to a bass solo...,1018573,0
Making music without hearing it,939287,0
So I just bought a new mouse....,934099,0
#LightTheWorld Christmas Concert with The Piano Guys and Friends,891552,0
Why aren't you likable?,652786,0
Strobe Guitar Solo by Sparkee,516750,0
MEGA JAM DAY,510973,0
"Selena Gomez talks going on tour, Instagram plus more!",506043,0
flor: rely,478978,0
Dashboard Confessional: Heart Beat Here,474948,0
China BANS Hip Hop From Television,417318,0
P!nk presentation on AMAs 2017,383216,0
Choir! Choir! Choir! Epic! Nights: David Byrne + NYC sing HEROES,376955,0
Behind The Sounds: That's Not Me,347321,0
How to turn your car crash into a catchy song,333734,0
LightTheWorld LIVE Concert with The Piano Guys and Friends,330853,0
Symon -Lonely Girl,321089,0
The Secrets Behind Freddie Mercury's Legendary Voice,294806,0
Dead Beat Sirah ft. Skrillex (official video),157979,0
THE FORCE:  A musical tribute to Princess Leia,154695,0
Dream Killa,137756,0
I never moaned once! Gary Oldman on his Oscar winning performance as Winston Churchill.,124868,0
Never Bet Your Money On Another Man's Game,111661,0
John Legend And Zara Larsson Perform God Only Knows At Nobel Peace Prize Concert 2017,110416,0
All Star but it's an Origami,105203,0
Melissa Benoist Sings Running Home To You | Crisis On Earth X | Supergirl S3x8,81709,0
Instant Karma: Woman Breaks Her Leg While Stealing A Package From A Porch,67944,0
Tegan and Sara present The Con X: Covers – Floorplan – Sara Bareilles,17855,0
Welcome to the  Class of 2018 Inductees,11594,0
IoT kit robot #3,9699,0
Electromechanical display rear view,5209,0
Carol of the Pugs,3411,0
